"dataset","instan","classes","FSize","LCoef01","LCoef02","LCoef03","LCoef12","LCoef13","LCoef23","skew0","skew1","skew2","skew3","kurtosis0","kurtosis1","kurtosis2","kurtosis3","nCEntropy","entroC","toCorr","Acc","SAR","Algorithm","runTime","CPUtime","usedMemory"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"96.93","32.92","RandomTree","69","7178.25391","372.60223"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"96.75","32.86","REPTree","58","7178.31201","388.6355"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"70.44","23.96","DecisionStump","25","7054.47705","267.42197"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"97.88","33.26","RandomForest","4620","7178.18311","356.57529"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"97.2","33.02","MultilayerPerceptron","15772","7071.43262","331.90607"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"89.92","30.57","NaiveBayesUpdateable","28","7143.72217","628.98657"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"81.65","27.73","AdaBoostM1","384","7144.09277","697.4386"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"89.92","30.57","NaiveBayes","41","7143.69385","601.61481"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"94.88","32.2","LMT","15954","451.05872","187.44374"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"94.54","32.05","REPTree","102","460.38223","257.94583"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"93.88","31.81","DecisionStump","44","202.41528","559.46393"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"94.99","32.24","RandomForest","9517","460.13797","207.92349"
